Indicator:,5 year olds achieving 'expected level' on communication early learning goals,,(Back to data dictionary),
Date:,2019,,,
Coverage:,England,,,
Geography:,"Counties and Unitary Authorities, 2019",,,
,,,,
Area Code,Area,5 year olds achieving 'expected level' %,Note,
E06000001,Hartlepool,79.3,,
E06000002,Middlesbrough,71.8,,
E06000003,Redcar and Cleveland,79.9,,
E06000004,Stockton-on-Tees,84.4,,
E06000005,Darlington,78.1,,
E06000006,Halton,79.1,,
E06000007,Warrington,81.7,,
E06000008,Blackburn with Darwen,76.3,,
E06000009,Blackpool,78.3,,
E06000010,"Kingston upon Hull, City of",76.3,,
E06000011,East Riding of Yorkshire,84.2,,
E06000012,North East Lincolnshire,79.8,,
E06000013,North Lincolnshire,81.8,,
E06000014,York,87.8,,
E06000015,Derby,79.2,,
E06000016,Leicester,77.7,,
E06000017,Rutland,84.9,,
E06000018,Nottingham,81.2,,
E06000019,"Herefordshire, County of",83.9,,
E06000020,Telford and Wrekin,81.6,,
E06000021,Stoke-on-Trent,76.8,,
E06000022,Bath and North East Somerset,84.8,,
E06000023,"Bristol, City of",81.2,,
E06000024,North Somerset,87.3,,
E06000025,South Gloucestershire,86.0,,
E06000026,Plymouth,79.3,,
E06000027,Torbay,79.6,,
E06000030,Swindon,81.8,,
E06000031,Peterborough,78.2,,
E06000032,Luton,78.7,,
E06000033,Southend-on-Sea,85.5,,
E06000034,Thurrock,82.6,,
E06000035,Medway,83.4,,
E06000036,Bracknell Forest,87.2,,
E06000037,West Berkshire,88.2,,
E06000038,Reading,79.1,,
E06000039,Slough,83.2,,
E06000040,Windsor and Maidenhead,85.9,,
E06000041,Wokingham,87.7,,
E06000042,Milton Keynes,82.2,,
E06000043,Brighton and Hove,81.7,,
E06000044,Portsmouth,82.4,,
E06000045,Southampton,81.4,,
E06000046,Isle of Wight,82.5,,
E06000047,County Durham,81.6,,
E06000049,Cheshire East,82.1,,
E06000050,Cheshire West and Chester,84.3,,
E06000051,Shropshire,84.4,,
E06000052,Cornwall,83.4,,
E06000053,Isles of Scilly,96.4,,
E06000054,Wiltshire,85.7,,
E06000055,Bedford,81.0,,
E06000056,Central Bedfordshire,84.5,,
E06000057,Northumberland,84.8,,
E06000058,"Bournemouth, Christchurch and Poole",84.7,,
E06000059,Dorset,83.4,,
E08000001,Bolton,76.1,,
E08000002,Bury,85.2,,
E08000003,Manchester,75.3,,
E08000004,Oldham,77.5,,
E08000005,Rochdale,75.4,,
E08000006,Salford,78.0,,
E08000007,Stockport,80.7,,
E08000008,Tameside,77.9,,
E08000009,Trafford,85.5,,
E08000010,Wigan,76.4,,
E08000011,Knowsley,79.7,,
E08000012,Liverpool,78.3,,
E08000013,St. Helens,79.7,,
E08000014,Sefton,78.8,,
E08000015,Wirral,77.9,,
E08000016,Barnsley,81.0,,
E08000017,Doncaster,83.8,,
E08000018,Rotherham,79.5,,
E08000019,Sheffield,84.9,,
E08000021,Newcastle upon Tyne,83.0,,
E08000022,North Tyneside,82.6,,
E08000023,South Tyneside,83.4,,
E08000024,Sunderland,82.9,,
E08000025,Birmingham,77.3,,
E08000026,Coventry,77.5,,
E08000027,Dudley,77.0,,
E08000028,Sandwell,77.9,,
E08000029,Solihull,80.3,,
E08000030,Walsall,77.3,,
E08000031,Wolverhampton,78.3,,
E08000032,Bradford,81.4,,
E08000033,Calderdale,83.6,,
E08000034,Kirklees,80.5,,
E08000035,Leeds,81.1,,
E08000036,Wakefield,82.2,,
E08000037,Gateshead,89.9,,
E09000001,City of London,91.5,,
E09000002,Barking and Dagenham,80.0,,
E09000003,Barnet,84.9,,
E09000004,Bexley,83.4,,
E09000005,Brent,79.0,,
E09000006,Bromley,84.7,,
E09000007,Camden,83.3,,
E09000008,Croydon,82.0,,
E09000009,Ealing,79.5,,
E09000010,Enfield,79.5,,
E09000011,Greenwich,84.1,,
E09000012,Hackney,80.7,,
E09000013,Hammersmith and Fulham,82.5,,
E09000014,Haringey,83.5,,
E09000015,Harrow,82.0,,
E09000016,Havering,83.5,,
E09000017,Hillingdon,84.2,,
E09000018,Hounslow,81.5,,
E09000019,Islington,83.2,,
E09000020,Kensington and Chelsea,78.3,,
E09000021,Kingston upon Thames,90.7,,
E09000022,Lambeth,80.4,,
E09000023,Lewisham,84.8,,
E09000024,Merton,86.4,,
E09000025,Newham,81.4,,
E09000026,Redbridge,83.0,,
E09000027,Richmond upon Thames,94.6,,
E09000028,Southwark,80.5,,
E09000029,Sutton,81.6,,
E09000030,Tower Hamlets,77.9,,
E09000031,Waltham Forest,83.3,,
E09000032,Wandsworth,84.5,,
E09000033,Westminster,79.8,,
E10000002,lacu:Buckinghamshire,84.4,Obsolete code since 2020,
E10000003,lacu:Cambridgeshire,81.2,,
E10000006,lacu:Cumbria,82.4,,
E10000007,lacu:Derbyshire,81.1,,
E10000008,lacu:Devon,84.0,,
E10000011,lacu:East Sussex,86.1,,
E10000012,lacu:Essex,83.2,,
E10000013,lacu:Gloucestershire,84.4,,
E10000014,lacu:Hampshire,88.2,,
E10000015,lacu:Hertfordshire,83.9,,
E10000016,lacu:Kent,83.5,,
E10000017,lacu:Lancashire,79.5,,
E10000018,lacu:Leicestershire,83.3,,
E10000019,lacu:Lincolnshire,80.7,,
E10000020,lacu:Norfolk,84.3,,
E10000021,lacu:Northamptonshire,81.0,Obsolete code since 2021,
E10000023,lacu:North Yorkshire,84.7,,
E10000024,lacu:Nottinghamshire,81.9,,
E10000025,lacu:Oxfordshire,85.2,,
E10000027,lacu:Somerset,83.7,,
E10000028,lacu:Staffordshire,84.2,,
E10000029,lacu:Suffolk,81.0,,
E10000030,lacu:Surrey,88.1,,
E10000031,lacu:Warwickshire,82.0,,
E10000032,lacu:West Sussex,84.1,,
E10000034,lacu:Worcestershire,82.2,,