Indicator:,5 year olds achieving 'expected level' on literacy early learning goals,,(Back to data dictionary),
Date:,2019,,,
Coverage:,England,,,
Geography:,"Counties and Unitary Authorities, 2019",,,
,,,,
Area Code,Area,5 year olds achieving 'expected level' %,Note,
E06000001,Hartlepool,73.5,,
E06000002,Middlesbrough,63.9,,
E06000003,Redcar and Cleveland,72.2,,
E06000004,Stockton-on-Tees,74.6,,
E06000005,Darlington,73.2,,
E06000006,Halton,66.8,,
E06000007,Warrington,75.2,,
E06000008,Blackburn with Darwen,70.3,,
E06000009,Blackpool,69.5,,
E06000010,"Kingston upon Hull, City of",68.4,,
E06000011,East Riding of Yorkshire,75.4,,
E06000012,North East Lincolnshire,72.0,,
E06000013,North Lincolnshire,73.5,,
E06000014,York,76.9,,
E06000015,Derby,72.0,,
E06000016,Leicester,68.8,,
E06000017,Rutland,79.8,,
E06000018,Nottingham,67.3,,
E06000019,"Herefordshire, County of",77.1,,
E06000020,Telford and Wrekin,72.5,,
E06000021,Stoke-on-Trent,67.7,,
E06000022,Bath and North East Somerset,75.9,,
E06000023,"Bristol, City of",72.2,,
E06000024,North Somerset,75.7,,
E06000025,South Gloucestershire,78.2,,
E06000026,Plymouth,70.3,,
E06000027,Torbay,72.4,,
E06000030,Swindon,73.3,,
E06000031,Peterborough,68.5,,
E06000032,Luton,69.7,,
E06000033,Southend-on-Sea,75.3,,
E06000034,Thurrock,75.0,,
E06000035,Medway,74.9,,
E06000036,Bracknell Forest,78.4,,
E06000037,West Berkshire,76.8,,
E06000038,Reading,71.2,,
E06000039,Slough,75.8,,
E06000040,Windsor and Maidenhead,76.6,,
E06000041,Wokingham,79.1,,
E06000042,Milton Keynes,75.1,,
E06000043,Brighton and Hove,73.7,,
E06000044,Portsmouth,70.6,,
E06000045,Southampton,72.5,,
E06000046,Isle of Wight,72.8,,
E06000047,County Durham,73.0,,
E06000049,Cheshire East,73.9,,
E06000050,Cheshire West and Chester,73.2,,
E06000051,Shropshire,74.4,,
E06000052,Cornwall,72.0,,
E06000053,Isles of Scilly,89.3,,
E06000054,Wiltshire,74.4,,
E06000055,Bedford,70.8,,
E06000056,Central Bedfordshire,75.4,,
E06000057,Northumberland,76.0,,
E06000058,"Bournemouth, Christchurch and Poole",74.5,,
E06000059,Dorset,72.7,,
E08000001,Bolton,68.9,,
E08000002,Bury,73.0,,
E08000003,Manchester,67.3,,
E08000004,Oldham,69.1,,
E08000005,Rochdale,67.4,,
E08000006,Salford,69.9,,
E08000007,Stockport,71.9,,
E08000008,Tameside,68.1,,
E08000009,Trafford,76.9,,
E08000010,Wigan,68.9,,
E08000011,Knowsley,69.1,,
E08000012,Liverpool,66.2,,
E08000013,St. Helens,72.2,,
E08000014,Sefton,70.8,,
E08000015,Wirral,70.7,,
E08000016,Barnsley,70.8,,
E08000017,Doncaster,73.3,,
E08000018,Rotherham,71.7,,
E08000019,Sheffield,70.9,,
E08000021,Newcastle upon Tyne,71.2,,
E08000022,North Tyneside,73.9,,
E08000023,South Tyneside,74.3,,
E08000024,Sunderland,73.9,,
E08000025,Birmingham,69.5,,
E08000026,Coventry,71.1,,
E08000027,Dudley,69.2,,
E08000028,Sandwell,67.4,,
E08000029,Solihull,74.7,,
E08000030,Walsall,69.2,,
E08000031,Wolverhampton,70.6,,
E08000032,Bradford,68.6,,
E08000033,Calderdale,71.7,,
E08000034,Kirklees,71.3,,
E08000035,Leeds,67.8,,
E08000036,Wakefield,71.8,,
E08000037,Gateshead,74.6,,
E09000001,City of London,85.1,,
E09000002,Barking and Dagenham,73.5,,
E09000003,Barnet,76.1,,
E09000004,Bexley,78.1,,
E09000005,Brent,73.6,,
E09000006,Bromley,79.9,,
E09000007,Camden,74.8,,
E09000008,Croydon,76.1,,
E09000009,Ealing,73.3,,
E09000010,Enfield,70.8,,
E09000011,Greenwich,78.7,,
E09000012,Hackney,71.8,,
E09000013,Hammersmith and Fulham,76.9,,
E09000014,Haringey,76.2,,
E09000015,Harrow,76.6,,
E09000016,Havering,73.7,,
E09000017,Hillingdon,76.4,,
E09000018,Hounslow,75.7,,
E09000019,Islington,72.2,,
E09000020,Kensington and Chelsea,73.0,,
E09000021,Kingston upon Thames,77.4,,
E09000022,Lambeth,73.0,,
E09000023,Lewisham,78.7,,
E09000024,Merton,77.3,,
E09000025,Newham,77.7,,
E09000026,Redbridge,76.9,,
E09000027,Richmond upon Thames,82.3,,
E09000028,Southwark,75.3,,
E09000029,Sutton,75.0,,
E09000030,Tower Hamlets,72.0,,
E09000031,Waltham Forest,78.1,,
E09000032,Wandsworth,79.1,,
E09000033,Westminster,73.6,,
E10000002,lacu:Buckinghamshire,76.4,Obsolete code since 2020,
E10000003,lacu:Cambridgeshire,73.1,,
E10000006,lacu:Cumbria,72.4,,
E10000007,lacu:Derbyshire,72.6,,
E10000008,lacu:Devon,74.1,,
E10000011,lacu:East Sussex,77.3,,
E10000012,lacu:Essex,76.3,,
E10000013,lacu:Gloucestershire,73.9,,
E10000014,lacu:Hampshire,78.5,,
E10000015,lacu:Hertfordshire,74.8,,
E10000016,lacu:Kent,76.0,,
E10000017,lacu:Lancashire,71.1,,
E10000018,lacu:Leicestershire,74.1,,
E10000019,lacu:Lincolnshire,71.2,,
E10000020,lacu:Norfolk,74.5,,
E10000021,lacu:Northamptonshire,72.9,Obsolete code since 2021,
E10000023,lacu:North Yorkshire,74.0,,
E10000024,lacu:Nottinghamshire,71.8,,
E10000025,lacu:Oxfordshire,75.1,,
E10000027,lacu:Somerset,73.3,,
E10000028,lacu:Staffordshire,75.7,,
E10000029,lacu:Suffolk,73.1,,
E10000030,lacu:Surrey,80.1,,
E10000031,lacu:Warwickshire,73.7,,
E10000032,lacu:West Sussex,73.6,,
E10000034,lacu:Worcestershire,73.6,,