Indicator:,Female healthy life expectancy,(Back to data dictionary),,,,,,,,,,,
Date: ,2017-2019,,,,,,,,,,,,
Coverage:,UK,,,,,,,,,,,,
Geography:,"Counties and Unitary Authorities, 2020",,,,,,,,,,,,
,,,,,,,,,,,,,
Area Code,Area,Female healthy life expectancy,HLE Lower CI,HLE Upper CI,Notes,,,,,,,,
E06000001,Hartlepool,57.4,55.5,59.3,,,,,,,,,
E06000002,Middlesbrough,58.5,56.7,60.3,,,,,,,,,
E06000003,Redcar and Cleveland,60.3,58.4,62.3,,,,,,,,,
E06000004,Stockton-on-Tees,56.8,54.8,58.9,,,,,,,,,
E06000005,Darlington,62.2,60.4,63.9,,,,,,,,,
E06000006,Halton,57.5,55.5,59.4,,,,,,,,,
E06000007,Warrington,65.3,63.3,67.2,,,,,,,,,
E06000008,Blackburn with Darwen,59.7,58.0,61.4,,,,,,,,,
E06000009,Blackpool,55.3,53.3,57.3,,,,,,,,,
E06000010,"Kingston upon Hull, City of",59.6,57.6,61.7,,,,,,,,,
E06000011,East Riding of Yorkshire,64.7,62.8,66.6,,,,,,,,,
E06000012,North East Lincolnshire,59.7,57.7,61.7,,,,,,,,,
E06000013,North Lincolnshire,60.2,58.1,62.3,,,,,,,,,
E06000014,York,66.4,64.6,68.3,,,,,,,,,
E06000015,Derby,62.0,60.0,64.1,,,,,,,,,
E06000016,Leicester,57.2,54.9,59.6,,,,,,,,,
E06000017,Rutland,63.1,58.9,67.2,,,,,,,,,
E06000018,Nottingham,55.6,53.7,57.6,,,,,,,,,
E06000019,"Herefordshire, County of",66.5,64.6,68.5,,,,,,,,,
E06000020,Telford and Wrekin,62.6,60.7,64.4,,,,,,,,,
E06000021,Stoke-on-Trent,56.7,54.7,58.7,,,,,,,,,
E06000022,Bath and North East Somerset,66.4,64.4,68.4,,,,,,,,,
E06000023,"Bristol, City of",61.6,59.3,63.8,,,,,,,,,
E06000024,North Somerset,67.4,65.5,69.2,,,,,,,,,
E06000025,South Gloucestershire,65.7,63.8,67.7,,,,,,,,,
E06000026,Plymouth,58.3,56.2,60.5,,,,,,,,,
E06000027,Torbay,62.9,61.0,64.7,,,,,,,,,
E06000030,Swindon,62.3,60.3,64.4,,,,,,,,,
E06000031,Peterborough,59.9,57.7,62.0,,,,,,,,,
E06000032,Luton,60.2,58.4,61.9,,,,,,,,,
E06000033,Southend-on-Sea,63.0,61.2,64.8,,,,,,,,,
E06000034,Thurrock,61.6,59.3,64.0,,,,,,,,,
E06000035,Medway,63.3,61.3,65.3,,,,,,,,,
E06000036,Bracknell Forest,67.1,65.0,69.2,,,,,,,,,
E06000037,West Berkshire,66.3,63.8,68.8,,,,,,,,,
E06000038,Reading,65.6,63.4,67.7,,,,,,,,,
E06000039,Slough,59.8,57.5,62.2,,,,,,,,,
E06000040,Windsor and Maidenhead,70.1,68.3,71.9,,,,,,,,,
E06000041,Wokingham,71.1,69.2,73.1,,,,,,,,,
E06000042,Milton Keynes,65.7,63.7,67.6,,,,,,,,,
E06000043,Brighton and Hove,64.8,62.6,67.1,,,,,,,,,
E06000044,Portsmouth,62.3,60.0,64.7,,,,,,,,,
E06000045,Southampton,62.6,60.6,64.7,,,,,,,,,
E06000046,Isle of Wight,59.1,57.1,61.2,,,,,,,,,
E06000047,County Durham,58.3,56.3,60.4,,,,,,,,,
E06000049,Cheshire East,67.6,65.2,70.0,,,,,,,,,
E06000050,Cheshire West and Chester,68.3,66.1,70.5,,,,,,,,,
E06000051,Shropshire,64.9,63.2,66.7,,,,,,,,,
E06000052,Cornwall,63.2,61.2,65.1,,,,,,,,,
E06000053,Isles of Scilly,na,na,na,,,,,,,,,
E06000054,Wiltshire,66.9,65.0,68.7,,,,,,,,,
E06000055,Bedford,65.5,61.9,69.1,,,,,,,,,
E06000056,Central Bedfordshire,67.7,65.1,70.3,,,,,,,,,
E06000057,Northumberland,61.7,59.9,63.4,,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",66.0,64.7,67.4,,,,,,,,,
E06000059,Dorset,65.6,63.5,67.6,,,,,,,,,
E06000060,Buckinghamshire,67.9,66.1,69.8,,,,,,,,,
E08000001,Bolton,62.1,60.2,64.1,,,,,,,,,
E08000002,Bury,61.4,59.4,63.3,,,,,,,,,
E08000003,Manchester,58.6,56.6,60.7,,,,,,,,,
E08000004,Oldham,58.3,56.4,60.2,,,,,,,,,
E08000005,Rochdale,59.4,57.6,61.3,,,,,,,,,
E08000006,Salford,58.6,56.4,60.8,,,,,,,,,
E08000007,Stockport,63.1,61.1,65.1,,,,,,,,,
E08000008,Tameside,58.7,56.9,60.5,,,,,,,,,
E08000009,Trafford,65.0,62.9,67.0,,,,,,,,,
E08000010,Wigan,62.0,60.0,64.0,,,,,,,,,
E08000011,Knowsley,59.0,57.1,60.8,,,,,,,,,
E08000012,Liverpool,57.7,55.9,59.4,,,,,,,,,
E08000013,St. Helens,58.4,56.4,60.4,,,,,,,,,
E08000014,Sefton,64.2,62.5,66.0,,,,,,,,,
E08000015,Wirral,63.9,62.1,65.7,,,,,,,,,
E08000016,Barnsley,61.5,59.5,63.4,,,,,,,,,
E08000017,Doncaster,57.5,55.5,59.4,,,,,,,,,
E08000018,Rotherham,58.9,56.9,60.8,,,,,,,,,
E08000019,Sheffield,60.9,58.8,63.1,,,,,,,,,
E08000021,Newcastle upon Tyne,58.7,56.4,60.9,,,,,,,,,
E08000022,North Tyneside,59.3,57.1,61.5,,,,,,,,,
E08000023,South Tyneside,58.5,56.5,60.5,,,,,,,,,
E08000024,Sunderland,57.3,55.4,59.2,,,,,,,,,
E08000025,Birmingham,59.3,57.8,60.8,,,,,,,,,
E08000026,Coventry,64.2,62.4,65.9,,,,,,,,,
E08000027,Dudley,62.6,60.7,64.5,,,,,,,,,
E08000028,Sandwell,59.5,57.7,61.4,,,,,,,,,
E08000029,Solihull,65.7,64.0,67.4,,,,,,,,,
E08000030,Walsall,58.7,56.7,60.6,,,,,,,,,
E08000031,Wolverhampton,58.6,57.0,60.3,,,,,,,,,
E08000032,Bradford,61.1,59.0,63.2,,,,,,,,,
E08000033,Calderdale,64.0,61.9,66.1,,,,,,,,,
E08000034,Kirklees,61.2,59.4,63.1,,,,,,,,,
E08000035,Leeds,63.9,62.2,65.7,,,,,,,,,
E08000036,Wakefield,58.4,56.5,60.4,,,,,,,,,
E08000037,Gateshead,59.7,57.8,61.6,,,,,,,,,
E09000001,City of London,na,na,na,,,,,,,,,
E09000002,Barking and Dagenham,59.2,56.5,62.0,,,,,,,,,
E09000003,Barnet,63.9,60.9,66.9,,,,,,,,,
E09000004,Bexley,61.8,58.8,64.8,,,,,,,,,
E09000005,Brent,71.4,67.3,75.4,,,,,,,,,
E09000006,Bromley,67.6,64.9,70.4,,,,,,,,,
E09000007,Camden,63.9,60.2,67.5,,,,,,,,,
E09000008,Croydon,62.6,59.9,65.2,,,,,,,,,
E09000009,Ealing,63.1,59.9,66.3,,,,,,,,,
E09000010,Enfield,65.0,62.2,67.9,,,,,,,,,
E09000011,Greenwich,63.4,60.3,66.5,,,,,,,,,
E09000012,Hackney,58.8,55.7,61.9,,,,,,,,,
E09000013,Hammersmith and Fulham,67.2,63.9,70.5,,,,,,,,,
E09000014,Haringey,64.0,61.1,66.9,,,,,,,,,
E09000015,Harrow,62.2,59.5,64.9,,,,,,,,,
E09000016,Havering,64.5,62.0,67.0,,,,,,,,,
E09000017,Hillingdon,60.1,57.3,63.0,,,,,,,,,
E09000018,Hounslow,61.7,58.0,65.3,,,,,,,,,
E09000019,Islington,59.8,56.6,63.1,,,,,,,,,
E09000020,Kensington and Chelsea,66.7,62.9,70.4,,,,,,,,,
E09000021,Kingston upon Thames,67.7,64.0,71.4,,,,,,,,,
E09000022,Lambeth,59.2,55.5,63.0,,,,,,,,,
E09000023,Lewisham,63.2,59.6,66.8,,,,,,,,,
E09000024,Merton,63.8,60.8,66.8,,,,,,,,,
E09000025,Newham,56.8,53.2,60.3,,,,,,,,,
E09000026,Redbridge,63.7,60.9,66.5,,,,,,,,,
E09000027,Richmond upon Thames,68.1,65.2,70.9,,,,,,,,,
E09000028,Southwark,64.0,59.1,68.9,,,,,,,,,
E09000029,Sutton,65.6,62.6,68.5,,,,,,,,,
E09000030,Tower Hamlets,59.4,55.9,62.8,,,,,,,,,
E09000031,Waltham Forest,69.7,66.2,73.2,,,,,,,,,
E09000032,Wandsworth,68.1,64.9,71.2,,,,,,,,,
E09000033,Westminster,64.4,61.5,67.4,,,,,,,,,
E10000003,lacu:Cambridgeshire,66.2,64.4,68.1,,,,,,,,,
E10000006,lacu:Cumbria,66.0,64.3,67.6,,,,,,,,,
E10000007,lacu:Derbyshire,61.3,59.6,63.0,,,,,,,,,
E10000008,lacu:Devon,67.8,66.1,69.5,,,,,,,,,
E10000011,lacu:East Sussex,60.5,58.4,62.7,,,,,,,,,
E10000012,lacu:Essex,65.6,64.4,66.9,,,,,,,,,
E10000013,lacu:Gloucestershire,66.1,64.4,67.8,,,,,,,,,
E10000014,lacu:Hampshire,66.1,64.7,67.4,,,,,,,,,
E10000015,lacu:Hertfordshire,64.3,62.7,65.8,,,,,,,,,
E10000016,lacu:Kent,64.6,63.3,66.0,,,,,,,,,
E10000017,lacu:Lancashire,62.0,60.5,63.4,,,,,,,,,
E10000018,lacu:Leicestershire,63.6,61.9,65.4,,,,,,,,,
E10000019,lacu:Lincolnshire,61.8,60.0,63.6,,,,,,,,,
E10000020,lacu:Norfolk,62.4,60.6,64.1,,,,,,,,,
E10000021,lacu:Northamptonshire,63.6,61.6,65.5,Obsolete code since 2021,,,,,,,,
E10000023,lacu:North Yorkshire,65.0,63.2,66.9,,,,,,,,,
E10000024,lacu:Nottinghamshire,61.6,59.8,63.3,,,,,,,,,
E10000025,lacu:Oxfordshire,69.4,67.6,71.3,,,,,,,,,
E10000027,lacu:Somerset,64.0,62.2,65.9,,,,,,,,,
E10000028,lacu:Staffordshire,63.8,62.2,65.4,,,,,,,,,
E10000029,lacu:Suffolk,62.9,61.1,64.7,,,,,,,,,
E10000030,lacu:Surrey,69.4,67.9,70.9,,,,,,,,,
E10000031,lacu:Warwickshire,64.1,62.2,66.1,,,,,,,,,
E10000032,lacu:West Sussex,64.8,63.0,66.7,,,,,,,,,
E10000034,lacu:Worcestershire,65.8,64.1,67.6,,,,,,,,,
N09000001,Antrim and Newtownabbey,62.9,59.9,66.0,,,,,,,,,
N09000002,"Armagh City, Banbridge and Craigavon",64.5,62.5,66.6,,,,,,,,,
N09000003,Belfast,58.5,56.6,60.4,,,,,,,,,
N09000004,Causeway Coast and Glens,62.1,59.4,64.7,,,,,,,,,
N09000005,Derry City and Strabane,59.1,56.2,62.0,,,,,,,,,
N09000006,Fermanagh and Omagh,63.7,60.6,66.8,,,,,,,,,
N09000007,Lisburn and Castlereagh,65.5,62.8,68.1,,,,,,,,,
N09000008,Mid and East Antrim,58.6,55.5,61.7,,,,,,,,,
N09000009,Mid Ulster,63.1,60.4,65.7,,,,,,,,,
N09000010,"Newry, Mourne and Down",64.7,62.2,67.1,,,,,,,,,
N09000011,Ards and North Down,63.4,61.0,65.8,,,,,,,,,
S12000005,Clackmannanshire,62.4,59.4,65.5,,,,,,,,,
S12000006,Dumfries and Galloway,62.5,60.3,64.7,,,,,,,,,
S12000008,East Ayrshire,58.2,56.1,60.4,,,,,,,,,
S12000010,East Lothian,64.6,62.5,66.8,,,,,,,,,
S12000011,East Renfrewshire,67.2,65.0,69.3,,,,,,,,,
S12000013,Na h-Eileanan Siar,69.6,66.8,72.4,,,,,,,,,
S12000014,Falkirk,59.7,57.8,61.6,,,,,,,,,
S12000017,Highland,64.4,61.6,67.1,,,,,,,,,
S12000018,Inverclyde,59.7,57.6,61.7,,,,,,,,,
S12000019,Midlothian,64.0,61.6,66.3,,,,,,,,,
S12000020,Moray,61.4,59.0,63.8,,,,,,,,,
S12000021,North Ayrshire,56.3,54.2,58.4,,,,,,,,,
S12000023,Orkney Islands,75.1,71.4,78.7,,,,,,,,,
S12000026,Scottish Borders,63.8,61.7,66.0,,,,,,,,,
S12000027,Shetland Islands,61.9,55.7,68.0,,,,,,,,,
S12000028,South Ayrshire,63.3,61.1,65.5,,,,,,,,,
S12000029,South Lanarkshire,63.0,61.0,64.9,,,,,,,,,
S12000030,Stirling,64.9,63.0,66.8,,,,,,,,,
S12000033,Aberdeen City,62.5,60.1,65.0,,,,,,,,,
S12000034,Aberdeenshire,66.0,63.7,68.2,,,,,,,,,
S12000035,Argyll and Bute,63.4,61.4,65.5,,,,,,,,,
S12000036,City of Edinburgh,65.0,62.9,67.1,,,,,,,,,
S12000038,Renfrewshire,62.3,60.2,64.4,,,,,,,,,
S12000039,West Dunbartonshire,60.6,58.8,62.3,,,,,,,,,
S12000040,West Lothian,59.1,57.0,61.2,,,,,,,,,
S12000041,Angus,63.1,61.0,65.2,,,,,,,,,
S12000042,Dundee City,57.9,55.7,60.0,,,,,,,,,
S12000045,East Dunbartonshire,66.5,64.7,68.4,,,,,,,,,
S12000047,Fife,61.3,59.1,63.5,,,,,,,,,
S12000048,Perth and Kinross,63.7,61.5,65.8,,,,,,,,,
S12000049,Glasgow City,57.6,55.7,59.4,,,,,,,,,
S12000050,North Lanarkshire,57.8,55.8,59.8,,,,,,,,,
W06000001,Isle of Anglesey,63.6,61.5,65.6,,,,,,,,,
W06000002,Gwynedd,68.0,66.1,69.9,,,,,,,,,
W06000003,Conwy,65.8,64.1,67.5,,,,,,,,,
W06000004,Denbighshire,66.0,64.2,67.8,,,,,,,,,
W06000005,Flintshire,64.2,62.1,66.2,,,,,,,,,
W06000006,Wrexham,63.8,62.0,65.6,,,,,,,,,
W06000008,Ceredigion,64.5,62.5,66.5,,,,,,,,,
W06000009,Pembrokeshire,64.3,62.6,66.1,,,,,,,,,
W06000010,Carmarthenshire,61.1,59.4,62.9,,,,,,,,,
W06000011,Swansea,60.2,58.3,62.0,,,,,,,,,
W06000012,Neath Port Talbot,59.4,57.4,61.5,,,,,,,,,
W06000013,Bridgend,59.6,57.6,61.6,,,,,,,,,
W06000014,Vale of Glamorgan,62.6,60.4,64.8,,,,,,,,,
W06000015,Cardiff,62.5,60.4,64.7,,,,,,,,,
W06000016,Rhondda Cynon Taf,61.1,59.4,62.9,,,,,,,,,
W06000018,Caerphilly,57.3,55.3,59.3,,,,,,,,,
W06000019,Blaenau Gwent,57.0,54.7,59.4,,,,,,,,,
W06000020,Torfaen,57.8,55.8,59.7,,,,,,,,,
W06000021,Monmouthshire,66.1,64.1,68.2,,,,,,,,,
W06000022,Newport,59.5,57.5,61.5,,,,,,,,,
W06000023,Powys,66.3,64.4,68.2,,,,,,,,,
W06000024,Merthyr Tydfil,56.9,54.6,59.2,,,,,,,,,
