Indicator:,Gross Value Added per hour worked,(Back to data dictionary),,
Date: ,2019,,,
Coverage:,Great Britain,,,
Geography:,"Local Authority Districts and Unitary Authorities, 2021",,,
,,,,
Area Code,Area,Gross Value Added per hour (Â£),,
E06000001,Hartlepool,28.31,,
E06000002,Middlesbrough,29.30,,
E06000003,Redcar and Cleveland,26.54,,
E06000004,Stockton-on-Tees,34.37,,
E06000005,Darlington,32.68,,
E06000006,Halton,37.96,,
E06000007,Warrington,32.80,,
E06000008,Blackburn with Darwen,27.26,,
E06000009,Blackpool,27.10,,
E06000010,"Kingston upon Hull, City of",28.90,,
E06000011,East Riding of Yorkshire,31.27,,
E06000012,North East Lincolnshire,27.20,,
E06000013,North Lincolnshire,33.33,,
E06000014,York,34.64,,
E06000015,Derby,31.82,,
E06000016,Leicester,30.96,,
E06000017,Rutland,28.25,,
E06000018,Nottingham,30.81,,
E06000019,"Herefordshire, County of",23.79,,
E06000020,Telford and Wrekin,30.81,,
E06000021,Stoke-on-Trent,28.96,,
E06000022,Bath and North East Somerset,28.73,,
E06000023,"Bristol, City of",31.01,,
E06000024,North Somerset,30.58,,
E06000025,South Gloucestershire,47.47,,
E06000026,Plymouth,30.20,,
E06000027,Torbay,24.39,,
E06000030,Swindon,47.86,,
E06000031,Peterborough,34.22,,
E06000032,Luton,36.29,,
E06000033,Southend-on-Sea,25.87,,
E06000034,Thurrock,36.18,,
E06000035,Medway,36.55,,
E06000036,Bracknell Forest,48.06,,
E06000037,West Berkshire,43.52,,
E06000038,Reading,45.00,,
E06000039,Slough,53.55,,
E06000040,Windsor and Maidenhead,52.90,,
E06000041,Wokingham,47.70,,
E06000042,Milton Keynes,43.90,,
E06000043,Brighton and Hove,33.92,,
E06000044,Portsmouth,34.41,,
E06000045,Southampton,40.27,,
E06000046,Isle of Wight,29.60,,
E06000047,County Durham,28.96,,
E06000049,Cheshire East,40.67,,
E06000050,Cheshire West and Chester,35.15,,
E06000051,Shropshire,26.43,,
E06000052,Cornwall,27.15,,
E06000053,Isles of Scilly,39.28,,
E06000054,Wiltshire,30.58,,
E06000055,Bedford,31.28,,
E06000056,Central Bedfordshire,32.92,,
E06000057,Northumberland,27.06,,
E06000058,"Bournemouth, Christchurch and Poole",31.67,,
E06000059,Dorset,28.58,,
E06000060,Buckinghamshire,35.91,,
E06000061,North Northamptonshire,26.54,,
E06000062,West Northamptonshire,31.46,,
E07000008,Cambridge,33.97,,
E07000009,East Cambridgeshire,31.77,,
E07000010,Fenland,27.29,,
E07000011,Huntingdonshire,34.53,,
E07000012,South Cambridgeshire,35.06,,
E07000026,Allerdale,26.64,,
E07000027,Barrow-in-Furness,37.94,,
E07000028,Carlisle,30.29,,
E07000029,Copeland,25.45,,
E07000030,Eden,29.81,,
E07000031,South Lakeland,28.23,,
E07000032,Amber Valley,30.82,,
E07000033,Bolsover,41.51,,
E07000034,Chesterfield,28.02,,
E07000035,Derbyshire Dales,24.23,,
E07000036,Erewash,24.45,,
E07000037,High Peak,24.71,,
E07000038,North East Derbyshire,28.71,,
E07000039,South Derbyshire,49.18,,
E07000040,East Devon,30.50,,
E07000041,Exeter,35.76,,
E07000042,Mid Devon,27.64,,
E07000043,North Devon,26.60,,
E07000044,South Hams,29.38,,
E07000045,Teignbridge,28.96,,
E07000046,Torridge,25.13,,
E07000047,West Devon,25.16,,
E07000061,Eastbourne,27.18,,
E07000062,Hastings,26.75,,
E07000063,Lewes,27.45,,
E07000064,Rother,25.66,,
E07000065,Wealden,25.77,,
E07000066,Basildon,38.34,,
E07000067,Braintree,36.23,,
E07000068,Brentwood,53.56,,
E07000069,Castle Point,24.80,,
E07000070,Chelmsford,33.07,,
E07000071,Colchester,30.51,,
E07000072,Epping Forest,41.38,,
E07000073,Harlow,32.78,,
E07000074,Maldon,28.21,,
E07000075,Rochford,28.89,,
E07000076,Tendring,26.39,,
E07000077,Uttlesford,27.96,,
E07000078,Cheltenham,31.30,,
E07000079,Cotswold,45.53,,
E07000080,Forest of Dean,34.94,,
E07000081,Gloucester,28.93,,
E07000082,Stroud,29.42,,
E07000083,Tewkesbury,34.82,,
E07000084,Basingstoke and Deane,47.48,,
E07000085,East Hampshire,32.04,,
E07000086,Eastleigh,40.19,,
E07000087,Fareham,37.95,,
E07000088,Gosport,29.28,,
E07000089,Hart,46.78,,
E07000090,Havant,38.68,,
E07000091,New Forest,37.35,,
E07000092,Rushmoor,55.61,,
E07000093,Test Valley,32.24,,
E07000094,Winchester,38.97,,
E07000095,Broxbourne,35.81,,
E07000096,Dacorum,31.10,,
E07000098,Hertsmere,42.77,,
E07000099,North Hertfordshire,35.69,,
E07000102,Three Rivers,54.69,,
E07000103,Watford,38.21,,
E07000105,Ashford,27.90,,
E07000106,Canterbury,27.20,,
E07000107,Dartford,38.33,,
E07000108,Dover,38.57,,
E07000109,Gravesham,30.71,,
E07000110,Maidstone,32.23,,
E07000111,Sevenoaks,43.01,,
E07000112,Folkestone and Hythe,33.56,,
E07000113,Swale,29.41,,
E07000114,Thanet,25.60,,
E07000115,Tonbridge and Malling,40.63,,
E07000116,Tunbridge Wells,38.35,,
E07000117,Burnley,30.53,,
E07000118,Chorley,28.30,,
E07000119,Fylde,38.62,,
E07000120,Hyndburn,28.54,,
E07000121,Lancaster,30.32,,
E07000122,Pendle,31.15,,
E07000123,Preston,29.84,,
E07000124,Ribble Valley,35.62,,
E07000125,Rossendale,26.04,,
E07000126,South Ribble,40.31,,
E07000127,West Lancashire,29.01,,
E07000128,Wyre,30.23,,
E07000129,Blaby,36.69,,
E07000130,Charnwood,32.72,,
E07000131,Harborough,29.23,,
E07000132,Hinckley and Bosworth,32.88,,
E07000133,Melton,33.47,,
E07000134,North West Leicestershire,34.03,,
E07000135,Oadby and Wigston,25.90,,
E07000136,Boston,25.91,,
E07000137,East Lindsey,25.97,,
E07000138,Lincoln,29.76,,
E07000139,North Kesteven,32.94,,
E07000140,South Holland,31.07,,
E07000141,South Kesteven,27.97,,
E07000142,West Lindsey,31.14,,
E07000143,Breckland,29.17,,
E07000144,Broadland,35.99,,
E07000145,Great Yarmouth,29.02,,
E07000146,King's Lynn and West Norfolk,30.60,,
E07000147,North Norfolk,26.34,,
E07000148,Norwich,27.89,,
E07000149,South Norfolk,29.24,,
E07000163,Craven,26.47,,
E07000164,Hambleton,31.90,,
E07000165,Harrogate,30.53,,
E07000166,Richmondshire,21.64,,
E07000167,Ryedale,29.24,,
E07000168,Scarborough,25.15,,
E07000169,Selby,33.21,,
E07000170,Ashfield,30.11,,
E07000171,Bassetlaw,24.36,,
E07000172,Broxtowe,33.71,,
E07000173,Gedling,29.61,,
E07000174,Mansfield,24.55,,
E07000175,Newark and Sherwood,28.44,,
E07000176,Rushcliffe,36.72,,
E07000177,Cherwell,35.32,,
E07000178,Oxford,30.63,,
E07000179,South Oxfordshire,36.65,,
E07000180,Vale of White Horse,36.79,,
E07000181,West Oxfordshire,31.76,,
E07000187,Mendip,25.15,,
E07000188,Sedgemoor,30.31,,
E07000189,South Somerset,30.62,,
E07000192,Cannock Chase,28.34,,
E07000193,East Staffordshire,33.82,,
E07000194,Lichfield,28.23,,
E07000195,Newcastle-under-Lyme,27.26,,
E07000196,South Staffordshire,30.20,,
E07000197,Stafford,29.01,,
E07000198,Staffordshire Moorlands,28.36,,
E07000199,Tamworth,31.00,,
E07000200,Babergh,32.27,,
E07000202,Ipswich,35.75,,
E07000203,Mid Suffolk,30.99,,
E07000207,Elmbridge,57.13,,
E07000208,Epsom and Ewell,34.48,,
E07000209,Guildford,36.09,,
E07000210,Mole Valley,50.64,,
E07000211,Reigate and Banstead,49.48,,
E07000212,Runnymede,62.35,,
E07000213,Spelthorne,43.29,,
E07000214,Surrey Heath,38.11,,
E07000215,Tandridge,29.08,,
E07000216,Waverley,35.17,,
E07000217,Woking,39.02,,
E07000218,North Warwickshire,34.77,,
E07000219,Nuneaton and Bedworth,26.71,,
E07000220,Rugby,35.93,,
E07000221,Stratford-on-Avon,40.20,,
E07000222,Warwick,43.03,,
E07000223,Adur,32.65,,
E07000224,Arun,29.81,,
E07000225,Chichester,31.15,,
E07000226,Crawley,37.07,,
E07000227,Horsham,32.55,,
E07000228,Mid Sussex,32.52,,
E07000229,Worthing,46.04,,
E07000234,Bromsgrove,33.14,,
E07000235,Malvern Hills,31.29,,
E07000236,Redditch,32.09,,
E07000237,Worcester,32.82,,
E07000238,Wychavon,29.60,,
E07000239,Wyre Forest,23.32,,
E07000240,St Albans,32.14,,
E07000241,Welwyn Hatfield,29.50,,
E07000242,East Hertfordshire,29.21,,
E07000243,Stevenage,32.53,,
E07000244,East Suffolk,31.38,,
E07000245,West Suffolk,34.78,,
E07000246,Somerset West and Taunton,26.74,,
E08000001,Bolton,28.84,,
E08000002,Bury,27.58,,
E08000003,Manchester,33.40,,
E08000004,Oldham,27.97,,
E08000005,Rochdale,27.85,,
E08000006,Salford,34.93,,
E08000007,Stockport,30.49,,
E08000008,Tameside,29.62,,
E08000009,Trafford,36.51,,
E08000010,Wigan,27.12,,
E08000011,Knowsley,32.05,,
E08000012,Liverpool,29.89,,
E08000013,St. Helens,25.85,,
E08000014,Sefton,29.24,,
E08000015,Wirral,28.98,,
E08000016,Barnsley,26.38,,
E08000017,Doncaster,27.25,,
E08000018,Rotherham,27.58,,
E08000019,Sheffield,29.85,,
E08000021,Newcastle upon Tyne,30.43,,
E08000022,North Tyneside,31.80,,
E08000023,South Tyneside,26.41,,
E08000024,Sunderland,36.33,,
E08000025,Birmingham,30.62,,
E08000026,Coventry,36.21,,
E08000027,Dudley,26.60,,
E08000028,Sandwell,30.41,,
E08000029,Solihull,45.24,,
E08000030,Walsall,25.92,,
E08000031,Wolverhampton,27.86,,
E08000032,Bradford,27.61,,
E08000033,Calderdale,29.09,,
E08000034,Kirklees,26.73,,
E08000035,Leeds,33.39,,
E08000036,Wakefield,29.72,,
E08000037,Gateshead,27.06,,
E09000001,City of London,57.01,,
E09000002,Barking and Dagenham,36.89,,
E09000003,Barnet,36.80,,
E09000004,Bexley,49.39,,
E09000005,Brent,36.82,,
E09000006,Bromley,42.63,,
E09000007,Camden,51.32,,
E09000008,Croydon,43.53,,
E09000009,Ealing,41.42,,
E09000010,Enfield,42.25,,
E09000011,Greenwich,38.45,,
E09000012,Hackney,36.06,,
E09000013,Hammersmith and Fulham,45.33,,
E09000014,Haringey,32.12,,
E09000015,Harrow,38.38,,
E09000016,Havering,39.89,,
E09000017,Hillingdon,46.87,,
E09000018,Hounslow,60.81,,
E09000019,Islington,46.14,,
E09000020,Kensington and Chelsea,40.30,,
E09000021,Kingston upon Thames,37.09,,
E09000022,Lambeth,46.60,,
E09000023,Lewisham,28.97,,
E09000024,Merton,36.78,,
E09000025,Newham,34.49,,
E09000026,Redbridge,37.97,,
E09000027,Richmond upon Thames,47.80,,
E09000028,Southwark,38.29,,
E09000029,Sutton,35.19,,
E09000030,Tower Hamlets,60.46,,
E09000031,Waltham Forest,34.63,,
E09000032,Wandsworth,35.15,,
E09000033,Westminster,52.46,,
S12000005,Clackmannanshire,45.89,,
S12000006,Dumfries and Galloway,32.40,,
S12000008,East Ayrshire,27.17,,
S12000010,East Lothian,34.05,,
S12000011,East Renfrewshire,32.00,,
S12000013,Na h-Eileanan Siar,28.33,,
S12000014,Falkirk,36.78,,
S12000017,Highland,32.94,,
S12000018,Inverclyde,30.23,,
S12000019,Midlothian,32.18,,
S12000020,Moray,33.52,,
S12000021,North Ayrshire,32.52,,
S12000023,Orkney Islands,32.37,,
S12000026,Scottish Borders,29.66,,
S12000027,Shetland Islands,34.98,,
S12000028,South Ayrshire,32.48,,
S12000029,South Lanarkshire,33.38,,
S12000030,Stirling,31.57,,
S12000033,Aberdeen City,34.37,,
S12000034,Aberdeenshire,37.00,,
S12000035,Argyll and Bute,29.11,,
S12000036,City of Edinburgh,41.90,,
S12000038,Renfrewshire,33.71,,
S12000039,West Dunbartonshire,35.52,,
S12000040,West Lothian,36.07,,
S12000041,Angus,32.60,,
S12000042,Dundee City,30.49,,
S12000045,East Dunbartonshire,32.37,,
S12000047,Fife,34.75,,
S12000048,Perth and Kinross,37.70,,
S12000049,Glasgow City,31.14,,
S12000050,North Lanarkshire,35.70,,
W06000001,Isle of Anglesey,26.77,,
W06000002,Gwynedd,25.38,,
W06000003,Conwy,24.83,,
W06000004,Denbighshire,25.10,,
W06000005,Flintshire,34.83,,
W06000006,Wrexham,31.28,,
W06000008,Ceredigion,24.68,,
W06000009,Pembrokeshire,29.45,,
W06000010,Carmarthenshire,25.67,,
W06000011,Swansea,30.81,,
W06000012,Neath Port Talbot,30.11,,
W06000013,Bridgend,32.72,,
W06000014,Vale of Glamorgan,27.91,,
W06000015,Cardiff,32.60,,
W06000016,Rhondda Cynon Taf,33.08,,
W06000018,Caerphilly,31.86,,
W06000019,Blaenau Gwent,27.79,,
W06000020,Torfaen,28.34,,
W06000021,Monmouthshire,29.47,,
W06000022,Newport,30.37,,
W06000023,Powys,20.25,,
W06000024,Merthyr Tydfil,28.80,,